vole skull index,chromosomal analysis ID,condylo incisive length or skull length (0.01mm),skull height above bullae (0.01mm),skull width across rostrum (0.01mm)
1,multiplex,2355,805,475
2,multiplex,2305,760,450
3,multiplex,2388,775,460
4,multiplex,2370,766,460
5,multiplex,2470,815,475
6,multiplex,2535,838,521
7,multiplex,2385,815,480
8,multiplex,2445,84,480
9,multiplex,2435,835,440
10,multiplex,2330,830,475
11,multiplex,2500,855,500
12,multiplex,2270,810,446
13,multiplex,2330,785,462
14,multiplex,2465,880,490
15,multiplex,2345,845,475
16,multiplex,2410,790,460
17,multiplex,2305,790,450
18,multiplex,2345,760,450
19,multiplex,2396,804,462
20,multiplex,2390,845,460
21,multiplex,2250,800,425
22,multiplex,2385,790,475
23,multiplex,2600,910,524
24,multiplex,2145,760,416
25,multiplex,2305,791,462
26,multiplex,2590,860,435
27,multiplex,2300,772,437
28,multiplex,2500,828,480
29,multiplex,2350,770,456
29,multiplex,2350,770,456
30,multiplex,2355,805,465
31,multiplex,2475,810,470
32,multiplex,2345,810,465
,,,,
33,multiplex,2237,805,437
34,multiplex,2525,815,495
35,multiplex,2370,795,469
36,multiplex,2457,796,477
37,multiplex,2352,770,475
38,multiplex,2452,775,470
39,multiplex,234,796,455
40,multiplex,2300,810,455
41,multiplex,2370,800,475
42,multiplex,2470,845,500
43,multiplex,2350,850,465
