Vole Skull Index,Chromosomal Analysis ID,Condylo Incisive Length or Skull Length (0.01mm),Skull Height Above Bullae (0.01mm),Skull Width Across Rostrum (0.01mm)
1,subterraneus,2350,735,450
2,subterraneus,2285,750,42
3,subterraneus,2170,738,415
4,subterraneus,2060,720,415
5,subterraneus,2275,785,417
6,subterraneus,2330,790,450
7,subterraneus,2260,760,426
8,subterraneus,2290,750,432
9,subterraneus,2340,795,450
10,subterraneus,2270,771,420
11,subterraneus,2175,755,424
12,subterraneus,2150,750,412
,,,,
13,subterraneus,21899,770,427
14,subterraneus,2275,795,425
15,subterraneus,2290,790,435
16,subterraneus,2298,776,440
17,subterraneus,2135,745,415
18,subterraneus,2240,760,415
19,subterraneus,2270,750,435
20,subterraneus,2235,731,430
21,subterraneus,2275,725,425
22,subterraneus,2200,775,415
23,subterraneus,2350,779,488
24,subterraneus,2265,746,420
25,subterraneus,2365,740,461
26,subterraneus,2342,788,460
27,subterraneus,2042,770,425
28,subterraneus,2250,740,425
29,subterraneus,2300,755,450
30,subterraneus,2245,805,430
31,subterraneus,2120,750,420
32,subterraneus,2230,725,425
33,subterraneus,2210,7722,450
34,subterraneus,2221,765,430
35,subterraneus,2095,740,410
36,subterraneus,2286,745,436
37,subterraneus,2182,735,400
38,subterraneus,2168,750,424
39,subterraneus,2260,748,427
40,subterraneus,2061,715,400
41,subterraneus,2060,745,395
42,subterraneus,2355,792,425
43,subterraneus,2180,750,417
44,subterraneus,2295,795,430
45,subterraneus,1965,740,395
46,subterraneus,2218,765,415
