Vole Skull Index,chromosomal analysis ID (These are all unknown we did not look at these),Condylo incisive length or skull length (0.01mm),Skull height above bullae (0.01mm),Skull width across rostrum (0.01mm)
1,unknown,2232,821,430
2,unknown,2140,755,405
3,unknown,2295,767,425
4,unknown,2355,842,490
5,unknown,2335,814,481
6,unknown,2355,815,460
7,unknown,2416,850,5000
8,unknown,2423,760,445
9,unknown,2504,835,487
10,unknown,2100,720,40
11,unknown,2555,850,515
12,unknown,2490,800,469
13,unknown,2570,875,530
14,unknown,2306,755,462
15,unknown,2595,775,480
16,unknown,2470,858,490
17,unknown,2110,750,445
18,unknown,1908,700,380
19,unknown,2250,800,410
20,unknown,2205,755,412
,,,,
21,unknown,2235,790,420
22,unknown,2235,770,435
23,unknown,2525,866,505
24,unknown,2265,755,430
25,unknown,2470,880,525
26,unknown,2545,856,500
27,unknown,2312,820,490
28,unknown,2450,796,470
29,unknown,2395,850,477
30,unknown,2390,770,465
31,unknown,2570,870,480
32,unknown,2200,775,440
33,unknown,2405,857,478
34,unknown,2353,780,474
35,unknown,2210,755,400
36,unknown,2530,865,530
37,unknown,2224,810,415
38,unknown,2240,768,428
39,unknown,1975,730,375
40,unknown,2495,872,520
41,unknown,2171,766,415
42,unknown,2400,795,466
43,unknown,2434,820,476
44,unknown,2415,805,495
45,unknown,23555,820,440
46,unknown,2480,825,480
47,unknown,2420,828,485
48,unknown,2450,786,440
49,unknown,2275,751,448
50,unknown,2160,750,400
51,unknown,2195,760,415
52,unknown,2100,727,385
53,unknown,2326,812,477
54,unknown,2178,820,424
55,unknown,2567,871,521
56,unknown,2440,830,488
57,unknown,2425,830,474
58,unknown,2048,805,407
59,unknown,2215,790,425
60,unknown,2483,825,458
61,unknown,2190,800,452
62,unknown,2425,835,450
63,unknown,2455,825,498
64,unknown,2440,810,475
65,unknown,2360,820,451
66,unknown,2270,765,465
67,unknown,2519,865,516
68,unknown,2350,840,466
69,unknown,2255,778,420
70,unknown,2363,878,489
71,unknown,2355,790,457
72,unknown,2294,815,457
73,unknown,2425,815,480
74,unknown,2202,754,432
75,unknown,2109,760,420
76,unknown,2109,760,420
77,unknown,2436,835,475
78,unknown,2145,735,425
79,unknown,2092,760,395
80,unknown,2340,866,455
81,unknown,2407,895,516
82,unknown,2315,770,470
83,unknown,2326,825,475
84,unknown,2360,770,470
85,unknown,2240,811,438
86,unknown,2325,811,475
87,unknown,2125,775,435
88,unknown,2315,757,445
89,unknown,2298,775,442
90,unknown,2320,760,445
91,unknown,2461,833,510
92,unknown,2300,755,430
93,unknown,2072,750,400
94,unknown,2080,772,412
95,unknown,2065,727,406
96,unknown,2388,815,460
97,unknown,2245,730,420
98,unknown,2386,806,455
99,unknown,2220,762,416
100,unknown,2325,760,435
101,unknown,2445,808,483
102,unknown,2285,846,471
103,unknown,2320,800,453
104,unknown,2230,815,440
105,unknown,2350,780,433
106,unknown,1945,728,390
107,unknown,2270,790,460
108,unknown,2566,904,545
109,unknown,2305,775,452
110,unknown,2245,765,435
111,unknown,2370,790,466
112,unknown,2384,825,435
113,unknown,2370,790,440
114,unknown,2485,850,478
115,unknown,2360,780,450
116,unknown,2385,815,468
117,unknown,2465,798,472
118,unknown,2355,796,475
119,unknown,2105,785,430
120,unknown,2270,770,450
121,unknown,2605,883,501
122,unknown,2369,810,461
123,unknown,2335,811,475
124,unknown,2470,840,485
125,unknown,2350,750,440
126,unknown,2038,714,400
127,unknown,2155,774,420
128,unknown,2397,795,453
129,unknown,2298,760,435
130,unknown,2410,810,465
131,unknown,2380,830,470
132,unknown,2210,745,428
133,unknown,2280,764,446
134,unknown,2345,815,485
135,unknown,2362,760,455
136,unknown,2275,770,420
137,unknown,2380,820,470
138,unknown,2289,871,431
139,unknown,2335,771,460
140,unknown,2545,831,485
141,unknown,2330,817,476
142,unknown,2554,868,492
143,unknown,2070,740,403
144,unknown,2441,840,485
145,unknown,2283,775,475
146,unknown,2300,810,450
147,unknown,2462,867,520
148,unknown,2195,750,435
149,unknown,2450,870,490
150,unknown,2225,740,420
151,unknown,2416,821,495
152,unknown,2190,780,445
153,unknown,2265,805,434
154,unknown,2300,851,462
155,unknown,2335,800,471
156,unknown,2175,780,425
157,unknown,2220,740,435
158,unknown,2245,752,425
159,unknown,1980,720,376
160,unknown,2295,745,426
161,unknown,2335,875,490
162,unknown,2100,730,400
163,unknown,2170,712,420
164,unknown,2115,710,420
165,unknown,2482,865,500
166,unknown,2430,755,460
167,unknown,2025,755,410
168,unknown,2200,770,435
169,unknown,2210,765,420
170,unknown,2295,795,445
171,unknown,2448,835,498
172,unknown,2350,790,456
173,unknown,2200,755,410
174,unknown,2255,746,416
175,unknown,2368,835,470
176,unknown,2336,830,461
177,unknown,2370,755,465
178,unknown,2352,782,456
179,unknown,2152,825,427
180,unknown,2365,785,455
181,unknown,2135,752,438
182,unknown,2311,802,451
183,unknown,2165,755,415
184,unknown,2335,790,440
185,unknown,2320,772,458
186,unknown,2166,780,452
187,unknown,2284,770,453
188,unknown,2240,745,415
189,unknown,2135,738,404
190,unknown,2300,760,455
191,unknown,2312,762,445
192,unknown,2295,750,455
193,unknown,2260,765,450
194,unknown,2185,756,410
195,unknown,2310,795,459
196,unknown,2525,815,503
197,unknown,2596,912,522
198,unknown,2228,730,436
199,unknown,2260,775,457
